CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment
12540,21,478,13400.24,4,1,1,411,Inactive
12541,61,52,981.18,3,3,2,332,Potential Loyalists
12544,275,19,372.7,1,4,4,144,Inactive
12545,77,50,1000.39,3,3,2,332,Potential Loyalists
12546,48,69,1161.5,3,2,2,322,Inactive
12547,199,8,207.79999999999998,1,5,5,155,Inactive
12548,168,5,95.19999999999999,2,5,5,255,Potential Loyalists
12550,81,57,964.83,3,3,2,332,Potential Loyalists
12551,359,10,168.0,1,5,5,155,Inactive
12552,41,20,437.82,4,4,4,444,VIP
12553,1,191,3692.28,5,1,1,511,Inactive
12556,34,119,599.56,4,2,3,423,Inactive
12557,18,33,11990.960000000001,5,3,1,531,Inactive
12558,302,11,269.96,1,5,4,154,Inactive
12559,312,21,561.71,1,4,3,143,Inactive
12560,114,105,2134.01,2,2,1,221,Inactive
12561,70,16,238.85,3,4,5,345,Consistent Buyers
12562,24,168,3781.7400000000002,4,1,1,411,Inactive
12564,263,21,456.9,1,4,4,144,Inactive
12565,290,9,145.92,1,5,5,155,Inactive
12566,88,19,351.65,3,4,4,344,Consistent Buyers
12567,24,446,9401.28,4,1,1,411,Inactive
12569,1,188,4124.69,5,1,1,511,Inactive
12571,41,34,519.61,4,3,3,433,Potential Loyalists
12572,53,60,1020.42,3,2,2,322,Inactive
12573,229,28,160.54000000000002,1,4,5,145,Inactive
12574,317,11,218.45,1,5,5,155,Inactive
12576,131,88,1315.83,2,2,2,222,Inactive
12577,244,146,626.6,1,1,3,113,Inactive
12578,23,114,2794.51,4,2,1,421,Inactive
12579,80,29,440.42,3,4,4,344,Consistent Buyers
12580,160,24,415.7,2,4,4,244,Potential Loyalists
12581,41,15,197.71,4,4,5,445,VIP
12582,240,22,511.36,1,4,3,143,Inactive
12583,1,247,7281.38,5,1,1,511,Inactive
12584,19,96,2338.15,5,2,1,521,Inactive
12585,236,87,2040.1,1,2,2,122,Inactive
12586,19,11,196.94000000000003,5,5,5,555,VIP
12587,302,4,144.0,1,5,5,155,Inactive
12588,41,10,214.89999999999998,4,5,5,455,VIP
12589,30,35,646.68,4,3,3,433,Potential Loyalists
12590,6,68,9864.26,5,2,1,521,Inactive
12591,319,26,452.84999999999997,1,4,4,144,Inactive
12592,67,18,437.6,3,4,4,344,Consistent Buyers
12593,110,21,418.09999999999997,2,4,4,244,Potential Loyalists
12594,48,118,3338.2200000000003,3,2,1,321,Inactive
12596,37,27,618.27,4,4,3,443,Consistent Buyers
12597,21,206,3811.22,4,1,1,411,Inactive
12598,11,132,3023.08,5,1,1,511,Inactive
12599,34,62,1032.58,4,2,2,422,Inactive
12600,30,64,2599.04,4,2,1,421,Inactive
12601,40,28,577.0600000000001,4,4,3,443,Consistent Buyers
12602,1,12,153.12,5,5,5,555,VIP
12603,23,3,739.1999999999999,4,5,3,453,Consistent Buyers
12604,81,16,254.18,3,4,4,344,Consistent Buyers
12607,62,101,1579.51,3,2,2,322,Inactive
12609,80,60,1126.85,3,2,2,322,Inactive
12610,24,106,2099.54,4,2,1,421,Inactive
12611,54,65,1193.32,3,2,2,322,Inactive
12612,76,19,704.0400000000001,3,4,3,343,Consistent Buyers
12613,59,153,3344.38,3,1,1,311,Inactive
12614,161,20,315.6,2,4,4,244,Potential Loyalists
12615,73,105,2291.19,3,2,1,321,Inactive
12616,216,32,713.3,1,3,3,133,Inactive
12617,61,41,352.98,3,3,4,334,Potential Loyalists
12618,23,11,177.31,4,5,5,455,VIP
12619,18,90,3641.24,5,2,1,521,Inactive
12620,16,92,1339.41,5,2,2,522,Inactive
12621,6,467,13689.67,5,1,1,511,Inactive
12622,234,11,180.1,1,5,5,155,Inactive
12623,130,18,305.1,2,4,4,244,Potential Loyalists
12624,108,38,641.13,2,3,3,233,Potential Loyalists
12625,6,86,2683.82,5,2,1,521,Inactive
12626,25,294,6620.48,4,1,1,411,Inactive
12627,12,230,4478.53,5,1,1,511,Inactive
12628,183,41,786.46,2,3,3,233,Potential Loyalists
12630,11,64,1270.88,5,2,2,522,Inactive
12631,59,31,640.5,3,3,3,333,Potential Loyalists
12633,1,101,2163.98,5,2,1,521,Inactive
12635,32,101,1689.18,4,2,2,422,Inactive
12637,93,382,6002.9,2,1,1,211,Inactive
12638,183,39,671.69,2,3,3,233,Potential Loyalists
12639,240,22,486.1,1,4,4,144,Inactive
12640,25,53,1174.58,4,3,2,432,Potential Loyalists
12641,117,10,185.9,2,5,5,255,Potential Loyalists
12642,27,47,1013.26,4,3,2,432,Potential Loyalists
12643,40,24,3344.64,4,4,1,441,Inactive
12644,306,31,477.91,1,3,4,134,Inactive
12645,111,73,1775.18,2,2,2,222,Inactive
12646,51,45,1346.97,3,3,2,332,Potential Loyalists
12647,24,122,3722.82,4,1,1,411,Inactive
12648,126,21,318.05,2,4,4,244,Potential Loyalists
12649,36,31,623.51,4,3,3,433,Potential Loyalists
12650,182,20,314.44,2,4,4,244,Potential Loyalists
12651,101,9,114.0,2,5,5,255,Potential Loyalists
12652,10,48,919.98,5,3,3,533,Potential Loyalists
12653,150,43,2209.85,2,3,1,231,Inactive
12654,12,38,601.98,5,3,3,533,Potential Loyalists
12656,19,126,4051.17,5,1,1,511,Inactive
12657,13,47,1643.18,5,3,2,532,Potential Loyalists
12658,20,36,686.05,4,3,3,433,Potential Loyalists
12659,61,5,91.68,3,5,5,355,Consistent Buyers
12660,13,13,245.1,5,5,5,555,VIP
12662,24,230,3849.78,4,1,1,411,Inactive
12664,1,37,4881.88,5,3,1,531,Inactive
12665,326,3,63.0,1,5,5,155,Inactive
12667,1,33,620.13,5,3,3,533,Potential Loyalists
12668,13,161,3807.15,5,1,1,511,Inactive
12669,4,101,2744.0299999999997,5,2,1,521,Inactive
12670,12,92,2996.05,5,2,1,521,Inactive
12672,331,10,225.89999999999998,1,5,5,155,Inactive
12673,243,42,610.52,1,3,3,133,Inactive
12674,93,83,1970.6,2,2,2,222,Inactive
12676,26,45,1331.39,4,3,2,432,Potential Loyalists
12678,44,165,17628.46,4,1,1,411,Inactive
12679,1,48,1113.02,5,3,2,532,Potential Loyalists
12680,32,52,862.81,4,3,3,433,Potential Loyalists
12681,16,638,13787.54,5,1,1,511,Inactive
12682,3,524,12279.82,5,1,1,511,Inactive
12683,6,344,8476.57,5,1,1,511,Inactive
12684,26,105,2283.63,4,2,1,421,Inactive
12685,30,157,2863.08,4,1,1,411,Inactive
12686,639,7,89.14,1,5,5,155,Inactive
12688,115,171,4873.8099999999995,2,1,1,211,Inactive
12689,27,72,1247.61,4,2,2,422,Inactive
12690,207,16,389.01,1,4,4,144,Inactive
12691,1,32,1035.8,5,3,2,532,Potential Loyalists
12693,6,39,855.91,5,3,3,533,Potential Loyalists
12694,72,37,869.67,3,3,3,333,Potential Loyalists
12695,109,27,582.1,2,4,3,243,Potential Loyalists
12697,30,41,957.59,4,3,2,432,Potential Loyalists
12700,128,268,4939.99,2,1,1,211,Inactive
12701,37,53,797.71,4,3,3,433,Potential Loyalists
12702,21,12,219.0,4,5,5,455,VIP
12703,72,21,283.55,3,4,4,344,Consistent Buyers
12704,24,88,2340.84,4,2,1,421,Inactive
12705,17,334,6868.29,5,1,1,511,Inactive
12707,293,33,603.42,1,3,3,133,Inactive
12708,61,157,2712.91,3,1,1,311,Inactive
12709,1,207,9706.52,5,1,1,511,Inactive
12710,203,77,1149.02,1,2,2,122,Inactive
12712,10,133,4396.13,5,1,1,511,Inactive
12713,90,38,848.55,2,3,3,233,Potential Loyalists
12714,11,259,4708.86,5,1,1,511,Inactive
12715,108,20,343.36,2,4,4,244,Potential Loyalists
12716,135,69,1053.49,2,2,2,222,Inactive
12717,34,55,1030.98,4,3,2,432,Potential Loyalists
12718,73,19,238.25,3,4,5,345,Consistent Buyers
12719,215,39,644.95,1,3,3,133,Inactive
12720,4,354,5781.73,5,1,1,511,Inactive
12721,81,161,2656.13,3,1,1,311,Inactive
12722,4,53,997.63,5,3,2,532,Potential Loyalists
12723,18,69,725.07,5,2,3,523,Inactive
12724,40,53,1031.41,4,3,2,432,Potential Loyalists
12725,639,24,427.8,1,4,4,144,Inactive
12726,30,124,2609.1,4,1,1,411,Inactive
12727,12,139,3980.7,5,1,1,511,Inactive
12728,40,46,836.33,4,3,3,433,Potential Loyalists
12729,115,26,453.01,2,4,4,244,Potential Loyalists
12731,25,274,18895.91,4,1,1,411,Inactive
12732,181,12,236.26000000000002,2,5,5,255,Potential Loyalists
12733,236,22,383.95,1,4,4,144,Inactive
12734,354,4,110.39999999999999,1,5,5,155,Inactive
12735,193,43,779.5699999999999,1,3,3,133,Inactive
12736,40,4,234.0,4,5,5,455,VIP
12738,666,11,155.35,1,5,5,155,Inactive
12739,80,38,1013.04,3,3,2,332,Potential Loyalists
12740,154,27,427.6,2,4,4,244,Potential Loyalists
12743,136,131,540.13,2,1,3,213,Inactive
12744,53,222,21279.29,3,1,1,311,Inactive
12747,24,103,4196.01,4,2,1,421,Inactive
12748,5,4413,33053.19,5,1,1,511,Inactive
12749,24,199,4090.88,4,1,1,411,Inactive
12750,278,15,275.88,1,4,4,144,Inactive
12752,83,53,4366.78,3,3,1,331,Inactive
12753,24,197,21429.39,4,1,1,411,Inactive
12754,161,63,3010.74,2,2,1,221,Inactive
12755,252,4,3811.95,1,5,1,151,Inactive
12756,88,4,112.07999999999998,3,5,5,355,Consistent Buyers
12757,5,364,7834.650000000001,5,1,1,511,Inactive
12758,118,97,2791.59,2,2,1,221,Inactive
12759,54,95,1531.44,3,2,2,322,Inactive
12762,27,69,1898.52,4,2,2,422,Inactive
12763,140,18,494.08,2,4,3,243,Potential Loyalists
12764,318,45,1693.88,1,3,2,132,Inactive
12766,59,310,6989.63,3,1,1,311,Inactive
12769,240,32,1143.6,1,3,2,132,Inactive
12770,212,12,1351.45,1,5,2,152,Inactive
12772,31,55,892.47,4,3,3,433,Potential Loyalists
12775,19,66,1386.04,5,2,2,522,Inactive
12778,21,50,822.23,4,3,3,433,Potential Loyalists
12779,200,149,3981.36,1,1,1,111,Inactive
12781,154,25,826.74,2,4,3,243,Potential Loyalists
12782,151,103,2330.92,2,2,1,221,Inactive
12783,55,84,2225.91,3,2,1,321,Inactive
12784,11,57,532.8199999999999,5,3,3,533,Potential Loyalists
12785,425,14,311.95,1,5,4,154,Inactive
12787,11,20,463.66,5,4,4,544,VIP
12789,215,4,91.85,1,5,5,155,Inactive
12790,194,21,324.92,1,4,4,144,Inactive
12791,698,2,192.60000000000002,1,5,5,155,Inactive
12792,258,25,400.53999999999996,1,4,4,144,Inactive
12793,101,24,545.48,2,4,3,243,Potential Loyalists
12794,55,45,860.41,3,3,3,333,Potential Loyalists
12795,20,14,430.48,4,5,4,454,VIP
12797,455,13,254.03,1,5,4,154,Inactive
12798,12,8,6977.04,5,5,1,551,Inactive
12802,188,25,427.58,2,4,4,244,Potential Loyalists
12808,127,28,483.65000000000003,2,4,4,244,Potential Loyalists
12809,179,25,489.31,2,4,3,243,Potential Loyalists
12811,262,31,514.85,1,3,3,133,Inactive
12812,46,15,229.64000000000001,3,4,5,345,Consistent Buyers
12814,103,2,125.92,2,5,5,255,Potential Loyalists
12815,149,47,1063.46,2,3,2,232,Potential Loyalists
12816,178,29,572.2,2,4,3,243,Potential Loyalists
12817,283,4,166.04,1,5,5,155,Inactive
12818,263,14,1542.08,1,4,2,142,Inactive
12820,46,59,942.34,3,2,2,322,Inactive
12821,97,6,92.72,2,5,5,255,Potential Loyalists
12822,72,46,948.88,3,3,2,332,Potential Loyalists
12823,76,5,1759.5,3,5,2,352,Potential Loyalists
12824,31,25,397.12,4,4,4,444,VIP
12826,61,91,1474.72,3,2,2,322,Inactive
12827,46,25,430.15000000000003,3,4,4,344,Consistent Buyers
12828,114,56,1018.71,2,3,2,232,Potential Loyalists
12829,163,11,293.0,2,5,4,254,Potential Loyalists
12830,93,38,6814.64,2,3,1,231,Inactive
12831,264,9,215.05,1,5,5,155,Inactive
12832,153,27,383.03,2,4,4,244,Potential Loyalists
12833,147,24,417.38,2,4,4,244,Potential Loyalists
12834,311,18,312.38,1,4,4,144,Inactive
12836,31,174,2610.36,4,1,1,411,Inactive
12837,175,12,134.1,2,5,5,255,Potential Loyalists
12838,183,120,671.95,2,2,3,223,Inactive
12839,13,314,5591.42,5,1,1,511,Inactive
12840,66,113,2726.77,3,2,1,321,Inactive
12841,5,414,3991.58,5,1,1,511,Inactive
12842,72,34,1118.99,3,3,2,332,Potential Loyalists
12843,67,103,1702.26,3,2,2,322,Inactive
12844,61,52,325.96000000000004,3,3,4,334,Potential Loyalists
12845,269,27,354.09,1,4,4,144,Inactive
12847,24,84,843.64,4,2,3,423,Inactive
12849,122,48,1010.29,2,3,2,232,Potential Loyalists
12851,246,47,131.81,1,3,5,135,Inactive
12852,296,17,311.55,1,4,4,144,Inactive
12853,136,78,1957.1000000000001,2,2,2,222,Inactive
12854,7,109,1316.25,5,2,2,522,Inactive
12855,667,3,38.1,1,5,5,155,Inactive
12856,20,311,2170.78,4,1,1,411,Inactive
12857,70,46,1106.4,3,3,2,332,Potential Loyalists
12863,54,5,521.2,3,5,3,353,Consistent Buyers
12864,140,3,147.12,2,5,5,255,Potential Loyalists
12865,28,95,1568.23,4,2,2,422,Inactive
12866,342,26,559.12,1,4,3,143,Inactive
12867,28,534,4009.34,4,1,1,411,Inactive
12868,10,107,1607.0600000000002,5,2,2,522,Inactive
12871,86,11,380.64,3,5,4,354,Consistent Buyers
12872,328,66,599.97,1,2,3,123,Inactive
12873,311,4,374.0,1,5,4,154,Inactive
12875,145,2,343.2300000000001,2,5,4,254,Potential Loyalists
12876,59,85,2218.02,3,2,1,321,Inactive
12877,26,154,1535.77,4,1,2,412,Inactive
12878,238,47,854.99,1,3,3,133,Inactive
12879,46,10,573.22,3,5,3,353,Consistent Buyers
12881,99,7,298.0,2,5,4,254,Potential Loyalists
12882,11,13,1463.04,5,5,2,552,Potential Loyalists
12883,26,42,703.47,4,3,3,433,Potential Loyalists
12884,2,7,309.05,5,5,4,554,VIP
12885,125,71,1175.22,2,2,2,222,Inactive
12886,250,82,1378.4,1,2,2,122,Inactive
12888,97,5,354.12,2,5,4,254,Potential Loyalists
12890,25,79,376.71999999999997,4,2,4,424,Inactive
12891,158,3,331.0,2,5,4,254,Potential Loyalists
12893,91,31,176.55,2,3,5,235,Potential Loyalists
12895,44,22,372.8,4,4,4,444,VIP
12897,39,4,216.5,4,5,5,455,VIP
12901,12,116,17654.54,5,2,1,521,Inactive
12902,266,10,138.68,1,5,5,155,Inactive
12904,20,71,496.06,4,2,3,423,Inactive
12906,13,63,2919.81,5,2,1,521,Inactive
12908,178,2,750.0,2,5,3,253,Potential Loyalists
12909,41,91,2178.67,4,2,1,421,Inactive
12910,7,75,3075.04,5,2,1,521,Inactive
12912,16,24,1662.3,5,4,2,542,Potential Loyalists
12913,17,50,2483.63,5,3,1,531,Inactive
12915,150,22,363.65,2,4,4,244,Potential Loyalists
12916,140,103,2944.95,2,2,1,221,Inactive
12917,278,2,594.0,1,5,3,153,Inactive
12919,3,50,1335.19,5,3,2,532,Potential Loyalists
12920,19,27,162.78,5,4,5,545,VIP
12921,11,720,16587.09,5,1,1,511,Inactive
12922,338,28,405.38,1,4,4,144,Inactive
12923,184,28,172.82,2,4,5,245,Potential Loyalists
12924,2,30,933.7,5,3,2,532,Potential Loyalists
12925,76,45,694.05,3,3,3,333,Potential Loyalists
12928,7,84,2062.7000000000003,5,2,1,521,Inactive
12929,343,8,117.85,1,5,5,155,Inactive
12930,80,25,415.8,3,4,4,344,Consistent Buyers
12931,23,82,42055.96,4,2,1,421,Inactive
12933,26,106,607.53,4,2,3,423,Inactive
12935,28,129,2160.7,4,1,1,411,Inactive
12936,18,62,1063.9,5,2,2,522,Inactive
12937,17,120,1504.27,5,2,2,522,Inactive
12938,27,9,114.14,4,5,5,455,VIP
12939,38,47,11581.8,4,3,1,431,Inactive
12940,56,96,899.69,3,2,3,323,Inactive
12942,133,70,675.6,2,2,3,223,Inactive
12944,244,30,604.51,1,3,3,133,Inactive
12945,290,23,462.95,1,4,4,144,Inactive
12947,66,97,1603.99,3,2,2,322,Inactive
12948,18,116,2064.95,5,2,1,521,Inactive
12949,91,215,4167.22,2,1,1,211,Inactive
12950,26,23,1843.0,4,4,2,442,Potential Loyalists
12951,175,63,1064.07,2,2,2,222,Inactive
12952,45,79,1387.79,3,2,2,322,Inactive
12953,11,17,329.85,5,4,4,544,VIP
12955,18,180,4757.16,5,1,1,511,Inactive
12956,192,19,108.07,1,4,5,145,Inactive
12957,11,238,4017.54,5,1,1,511,Inactive
12962,115,16,266.39,2,4,4,244,Potential Loyalists
12963,12,95,1856.63,5,2,2,522,Inactive
12965,32,108,769.8100000000001,4,2,3,423,Inactive
12966,11,10,160.18,5,5,5,555,VIP
12967,359,19,1660.9,1,4,2,142,Inactive
12968,114,5,135.95,2,5,5,255,Potential Loyalists
12970,302,129,405.47,1,1,4,114,Inactive
12971,10,305,11189.91,5,1,1,511,Inactive
12974,199,8,144.8,1,5,5,155,Inactive
12976,6,22,738.6,5,4,3,543,Consistent Buyers
12977,187,9,39.239999999999995,2,5,5,255,Potential Loyalists
12980,10,20,7374.900000000001,5,4,1,541,Inactive
12981,61,20,372.21999999999997,3,4,4,344,Consistent Buyers
12982,37,28,390.54,4,4,4,444,VIP
12984,20,4,97.5,4,5,5,455,VIP
12985,30,76,1239.38,4,2,2,422,Inactive
12987,75,28,558.7,3,4,3,343,Consistent Buyers
12988,294,83,505.82,1,2,3,123,Inactive
12989,2,64,6924.110000000001,5,2,1,521,Inactive
12990,122,13,409.5,2,5,4,254,Potential Loyalists
12991,25,31,503.76,4,3,3,433,Potential Loyalists
12993,25,27,414.76,4,4,4,444,VIP
12994,33,61,974.4200000000001,4,2,2,422,Inactive
12995,87,3,211.32,3,5,5,355,Consistent Buyers
12997,2,59,1226.89,5,2,2,522,Inactive
12999,129,28,455.88,2,4,4,244,Potential Loyalists
13000,108,31,534.85,2,3,3,233,Potential Loyalists
13001,24,337,9785.970000000001,4,1,1,411,Inactive
13002,320,7,120.94999999999999,1,5,5,155,Inactive
13003,34,6,149.05,4,5,5,455,VIP
13004,13,404,5655.91,5,1,1,511,Inactive
13005,160,26,513.7,2,4,3,243,Potential Loyalists
13006,58,4,81.57,3,5,5,355,Consistent Buyers
13008,325,14,229.46999999999997,1,4,5,145,Inactive
13011,666,3,50.550000000000004,1,5,5,155,Inactive
13012,11,88,1646.8400000000001,5,2,2,522,Inactive
13013,23,219,4810.9400000000005,4,1,1,411,Inactive
13014,12,110,3466.2799999999997,5,2,1,521,Inactive
13015,55,175,3339.64,3,1,1,311,Inactive
13016,75,47,789.89,3,3,3,333,Potential Loyalists
13017,302,1,204.0,1,5,5,155,Inactive
13018,18,458,7277.7,5,1,1,511,Inactive
13021,27,131,2616.38,4,1,1,411,Inactive
13023,184,40,689.9,2,3,3,233,Potential Loyalists
13026,99,40,975.36,2,3,2,232,Potential Loyalists
13027,115,26,6912.0,2,4,1,241,Inactive
13028,24,45,661.3199999999999,4,3,3,433,Potential Loyalists
13029,91,10,1247.5,2,5,2,252,Potential Loyalists
13030,13,92,752.4399999999999,5,2,3,523,Inactive
13032,54,71,1010.18,3,2,2,322,Inactive
13033,359,11,190.55,1,5,5,155,Inactive
13034,56,37,642.77,3,3,3,333,Potential Loyalists
13035,75,27,921.88,3,4,3,343,Consistent Buyers
13037,140,48,881.07,2,3,3,233,Potential Loyalists
13038,82,28,908.46,3,4,3,343,Consistent Buyers
13040,183,43,676.99,2,3,3,233,Potential Loyalists
